Multiplier,Lowest energy,Chain break fraction,Duplicates
1.0,-142.32829431863817,0.0018796992481203006,0
1.5,-147.95529354791262,0.0037593984962406013,0
1.5,-134.91658717618543,0.0037593984962406013,0
