Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-14.847210709709696,10.163408331891022,1962.6,0,0
400,-14.158488834168828,9.474686456350154,3671.3,0,0
600,-15.811668147537299,8.785964580809287,5587.4,0,0
800,-15.03101308752837,8.005309520800358,7022.5,0,0
1000,-18.811668147537297,11.785964580809287,8742.4,0,0
1200,-18.122946271996433,11.09724270526842,10370.0,0,0
1400,-17.311668147537297,10.285964580809287,13243.4,0,0
1600,-17.311668147537297,10.285964580809287,13797.7,0,0
1800,-17.893372313482807,10.867668746754797,15547.5,0,0
2000,-17.311668147537297,10.285964580809287,17320.2,0,0
200,-14.847210709709696,10.163408331891022,2038.5,0,0
400,-17.311668147537297,10.285964580809287,3747.3,0,0
600,-14.8778337741599,10.194031396341225,5288.0,0,0
800,-16.622946271996433,9.59724270526842,7077.9,0,0
1000,-18.811668147537297,11.785964580809287,8805.0,0,0
1200,-17.311668147537297,10.285964580809287,10543.1,0,0
1400,-18.612717253473882,11.587013686745868,12541.7,0,0
1600,-17.311668147537297,10.285964580809287,13801.7,0,0
1800,-18.811668147537297,11.785964580809287,15578.2,0,0
2000,-15.566555649700767,10.882753271882091,17247.7,0,0
200,-14.847210709709696,10.163408331891022,2022.9,0,0
400,-14.847210709709696,10.163408331891022,3775.9,0,0
600,-16.531013087528372,9.505309520800358,5522.1,0,0
800,-15.811668147537299,8.785964580809287,7254.8,0,0
1000,-14.893372313482809,7.867668746754798,9155.6,0,0
1200,-17.893372313482807,10.867668746754797,10765.6,0,0
1400,-17.311668147537297,10.285964580809287,12563.4,0,0
1600,-18.12294627199643,11.09724270526842,14280.3,0,0
1800,-18.8422912119875,11.81658764525949,16315.8,0,0
2000,-18.12294627199643,11.09724270526842,17809.6,0,0
200,-14.847210709709696,10.163408331891022,1959.2,0,0
400,-14.8778337741599,10.194031396341225,3737.7,0,0
600,-14.847210709709696,10.163408331891022,5382.9,0,0
800,-17.311668147537297,10.285964580809287,7049.7,0,0
1000,-16.393372313482807,9.367668746754799,8704.4,0,0
1200,-14.893372313482809,7.867668746754798,10409.3,0,0
1400,-18.12294627199643,11.09724270526842,12163.1,0,0
1600,-15.122946271996431,8.09724270526842,13776.6,0,0
1800,-18.811668147537297,11.785964580809287,15555.4,0,0
2000,-16.393372313482807,9.367668746754799,18602.8,0,0
200,-14.158488834168828,9.474686456350154,2093.6,0,0
400,-14.847210709709696,10.163408331891022,3847.9,0,0
600,-18.12294627199643,11.09724270526842,5666.5,0,0
800,-17.893372313482807,10.867668746754797,7335.2,0,0
1000,-18.031013087528372,11.005309520800358,9051.8,0,0
1200,-18.12294627199643,11.09724270526842,11061.5,0,0
1400,-18.122946271996433,11.09724270526842,12510.5,0,0
1600,-18.811668147537297,11.785964580809287,14373.1,0,0
1800,-17.112717253473882,10.087013686745868,16248.3,0,0
2000,-16.393372313482807,9.367668746754799,17908.3,0,0
