Multiplier,Lowest energy,Chain break fraction,Overlaps

1,-678.767223450374,0.0,35
2,-524.2981835673463,0.0017699115044247787,45
3,-363.2255169859434,0.0017699115044247787,58
4,-309.8023997635205,0.0017699115044247787,60
5,-194.23899200744123,0.0017699115044247787,64
6,-158.29837773402576,0.0017699115044247787,76
7,-112.39996899217275,0.0017699115044247787,74
8,-47.78154720999347,0.0017699115044247787,79
9,-82.2638264492534,0.0017699115044247787,75
10,30.291863304751928,0.0017699115044247787,84
1.0,-672.638310046705,0.0,33
1.1,-665.6486850266556,0.0,38
1.2000000000000002,-661.158561283525,0.0,35
1.3000000000000003,-658.4343978578,0.0017699115044247787,35
1.4000000000000004,-612.9943629974158,0.0017699115044247787,39
1.5000000000000004,-605.6960539701158,0.0017699115044247787,41
1.6000000000000005,-581.2029994670855,0.0017699115044247787,43
1.7000000000000006,-571.9367289959773,0.0017699115044247787,36
1.8000000000000007,-555.1479571229002,0.0,42
1.9000000000000008,-559.8046574777198,0.0017699115044247787,38
