Total reads,Lowest energy,Total entropy,Overlaps,Duplicates
500,-845.8350936176213,176.88680816149986,0,0
1000,-821.7254406752936,177.47936738338802,0,0
1500,-836.3326618824643,180.4318242718714,0,0
2000,-844.1634667594228,177.10314586373514,0,0
2500,-842.121353452683,178.7758226700228,0,0
3000,-837.0421000693119,177.70248437693456,0,0
3500,-828.1767824764805,183.87061357624683,0,0
