Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-672.9024598094361,178.9260844967569,103267.8,4,0
400,-677.2559399696654,177.78240362119658,143086.9,2,0
600,-690.8714498335382,161.6653286208632,401581.5,2,0
800,-749.3008157707753,182.27544581456837,294798.5,2,0
1000,-698.8752865086844,174.9579962048938,419543.4,1,0
1200,-726.4413750896828,178.0140416547772,856997.8,3,0
1400,-750.819824717311,186.1865037853932,635235.0,1,0
1600,-733.8364051408854,170.97865168976563,638792.5,0,0
1800,-715.6323017053594,176.29567981746283,731725.5,1,0
2000,-708.1136506145882,178.82862347744754,1270457.9,3,0
