Total reads,Lowest energy,Total entropy,Overlaps,Duplicates
500,-141.5535713663832,87.38807310302559,0,0
1000,-137.80652858772905,83.64103032437144,0,0
1500,-141.59715962094995,87.43166135759235,0,0
2000,-141.5535713663832,87.38807310302559,0,0
2500,-141.5535713663832,87.38807310302559,0,0
3000,-140.98333133333537,86.81783306997775,0,0
3500,-140.08699526573204,85.92149700237448,0,0
