Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
500,-134.06296642985336,83.76643232816416,8777.8,0,0
1000,-132.7221187768111,90.16351299845871,24965.2,0,0
1500,-134.47022720357495,88.04265726355415,32315.0,0,0
2000,-134.37683484804728,87.94926490802646,57432.3,0,0
2500,-136.65150884067072,86.35497473898148,45007.5,0,0
3000,-133.75730141742497,83.46076731573577,58072.2,0,0
3500,-133.34145374985403,86.91388380983324,68538.3,0,0
500,-129.07953839489704,82.65196845487623,7156.1,0,0
1000,-132.21216471423398,89.65355893588156,15113.8,0,0
1500,-132.36416047667223,85.93659053665144,22287.0,0,0
2000,-139.12875237722758,88.8322182755384,28505.4,0,0
2500,-132.05250151838192,85.62493157836114,35783.3,0,0
3000,-134.13394348631456,83.83740938462539,42593.3,0,0
3500,-138.5486112799727,88.2520771782835,49880.6,0,0
200,-129.4580361751523,83.03046623513153,51345.4,0,0
400,-130.6619088276681,88.1033030493157,11211.0,0,0
600,-137.54154058877901,87.2450064870898,19300.9,0,0
800,-133.05847028297296,82.76193618128376,27560.4,0,0
1000,-132.72775510240785,86.30018516238705,26668.7,0,0
1200,-130.35563307425303,83.92806313423225,32335.2,0,0
1400,-131.50907612624744,88.95047034789508,45817.6,0,0
1600,-133.20318464028995,86.77561470026913,43238.6,0,0
1800,-133.3790315600682,86.9514616200474,47310.7,0,0
2000,-135.0346702455109,88.60710030549008,75348.7,0,0
