Total reads,Lowest energy,Total entropy
100,-610.8387597835592,171.77143295889644
200,-601.9424129909695,172.23196139978117
300,-605.3958333686226,173.35913896120204
400,-616.7637267720232,171.9040947544924
500,-606.6631846856809,171.28720002386873
600,-614.7098071699606,176.7117449266114
700,-619.6141996374167,172.60235994509318
800,-619.3977217927278,178.7058273039169
900,-611.9075953582878,177.2386690687233
1000,-611.6736565519078,173.98422451021028
