Node multiplier,Edge multiplier,Lowest energy,Chain break fraction,Duplicates,Overlaps
1,1,-544.3069262068063,0.0,0,94
1,2,-428.28628273634143,0.0,0,26
1,3,-360.29736288657386,0.0,0,2
1,4,-301.21508053487617,0.005434782608695652,1,0
1,5,-285.7295590777472,0.0036231884057971015,1,0
1,6,-237.56645608329654,0.0,3,0
1,7,-205.442308003873,0.0036231884057971015,2,0
1,8,-165.78920144151238,0.0036231884057971015,4,0
1,9,-151.31923535156474,0.0,2,0
2,1,-520.3686834885697,0.0,0,88
2,2,-410.0622111617724,0.0,0,18
2,3,-377.4874035917851,0.0,0,2
2,4,-339.56980454472705,0.0,0,0
2,5,-298.53674230120873,0.0,0,2
2,6,-251.85555713309742,0.0018115942028985507,0,0
2,7,-231.65300494643603,0.0036231884057971015,0,0
2,8,-213.28341095496643,0.005434782608695652,0,0
2,9,-185.82615146588213,0.0,2,0
3,1,-452.2128544596784,0.0,0,86
3,2,-380.2810295390821,0.0,0,26
3,3,-347.8249160647998,0.0,0,4
3,4,-341.42478169793606,0.0,0,0
3,5,-314.4132647133371,0.0018115942028985507,0,2
3,6,-297.1100358973627,0.0018115942028985507,0,2
3,7,-295.8903950650519,0.0,0,0
3,8,-245.11533304404875,0.0,1,0
3,9,-238.93832564382058,0.0036231884057971015,0,0
4,1,-413.09338060011936,0.0,0,78
4,2,-349.5492787847331,0.0,0,28
4,3,-316.6699508076326,0.0,0,8
4,4,-316.42060251669267,0.0,0,6
4,5,-315.0001965759548,0.0,0,0
4,6,-297.0638327652309,0.0,0,0
4,7,-287.74917248895673,0.0,0,0
4,8,-267.715785128144,0.0018115942028985507,0,0
4,9,-240.89186722788259,0.0,0,0
5,1,-351.2597917975533,0.0,0,84
5,2,-293.9079566440593,0.0,0,14
5,3,-285.2336640297595,0.0,0,4
5,4,-302.5397783575632,0.0,0,2
5,5,-301.9321814023358,0.0,0,0
5,6,-293.41468112832786,0.0,0,0
5,7,-277.5118510060123,0.0,0,0
5,8,-270.3565145833073,0.0,0,0
5,9,-263.59948272149023,0.0,0,0
6,1,-348.0349524670388,0.0,0,102
6,2,-272.89032815154934,0.0,0,26
6,3,-285.40733045847395,0.0,0,10
6,4,-287.69398928838444,0.0,0,2
6,5,-305.05739453189886,0.0,0,0
6,6,-292.2610292430803,0.0,0,0
6,7,-276.65288353200316,0.0,0,0
6,8,-267.02210151031767,0.0,0,0
6,9,-274.0945307058801,0.0,0,0
7,1,-328.3149977942201,0.0,0,80
7,2,-248.11569383353878,0.0,0,30
7,3,-269.1646914056898,0.0018115942028985507,0,10
7,4,-281.68695446163906,0.0,0,0
7,5,-277.77708256534373,0.0,0,0
7,6,-278.45485810217934,0.0,0,0
7,7,-270.2797549839787,0.0,0,0
7,8,-285.248311999067,0.0018115942028985507,0,0
7,9,-290.81571540456605,0.0,0,0
8,1,-293.5573993965768,0.0,0,122
8,2,-235.230716984372,0.0,0,32
8,3,-233.3046194569378,0.0,0,12
8,4,-252.70174454763333,0.0,0,0
8,5,-266.0356849000341,0.0,0,0
8,6,-280.5243076294312,0.0,0,0
8,7,-269.25460658749284,0.0,0,0
8,8,-255.09769041914555,0.0,0,0
8,9,-276.17396545466977,0.0,0,0
9,1,-292.91149188754736,0.0,0,112
9,2,-208.42719343191982,0.0,0,26
9,3,-200.70695291914632,0.0,0,20
9,4,-227.50626080600807,0.0,0,4
9,5,-241.96252296663488,0.0,0,0
9,6,-258.7733965450843,0.0,0,0
9,7,-267.24497875002885,0.0,0,0
9,8,-266.1479457755979,0.0,0,0
9,9,-272.1765505364528,0.0,0,0
