Total reads,Time,Chain strength,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
200,84836.0,30,0.007874015748031496,-31.39376233656096,12.474686456350152,0,0
400,169672.0,30,0.007874015748031496,-31.179272903174606,12.505309520800356,0,0
600,254508.0,30,0.007874015748031496,-36.383987332234106,11.09724270526842,0,0
800,339344.0,30,0.005249343832020997,-31.240519032075,9.382753271882091,0,0
1000,424180.0,30,0.0026246719160104987,-29.174417396569957,9.474686456350154,0,0
1200,509016.0,30,0.005249343832020997,-30.414220373606007,10.056390622295664,0,0
1400,593852.0,30,0.005249343832020997,-27.64379433211976,11.09724270526842,0,0
1600,678688.0,30,0.005249343832020997,-32.87867781143367,13.178946871213927,0,0
1800,763524.0,30,0.007874015748031496,-33.1233362950746,11.66340833189102,0,0
2000,848360.0,30,0.007874015748031496,-36.01625459436175,10.194031396341225,0,0
200,84836.0,30,0.010498687664041995,-35.205040461020154,12.474686456350152,0,0
400,169672.0,30,0.005249343832020997,-29.633565313597067,11.556390622295662,0,0
600,254508.0,30,0.010498687664041995,-28.776061594247395,8.571475147422959,0,0
800,339344.0,30,0.007874015748031496,-36.781371115047804,13.194031396341225,0,0
1000,424180.0,30,0.005249343832020997,-32.021174092084024,12.505309520800356,0,0
1200,509016.0,30,0.005249343832020997,-36.93455042841622,11.694031396341225,0,0
1400,593852.0,30,0.005249343832020997,-37.96031798626167,10.31658764525949,0,0
1600,678688.0,30,0.007874015748031496,-39.307138672893274,11.005309520800358,0,0
1800,763524.0,30,0.007874015748031496,-35.097958760307186,10.775735562286735,0,0
2000,848360.0,30,0.010498687664041995,-38.02162810627964,11.09724270526842,0,0
200,84836.0,30,0.010498687664041995,-31.623336295074544,8.66340833189102,0,0
400,169672.0,30,0.010498687664041995,-37.36307528099336,11.694031396341225,0,0
600,254508.0,30,0.010498687664041995,-28.240583023192492,10.163408331891022,0,0
800,339344.0,30,0.010498687664041995,-42.30713867289322,14.81658764525949,0,0
1000,424180.0,30,0.010498687664041995,-31.516318585479233,10.974686456350154,0,0
1200,509016.0,30,0.007874015748031496,-33.84183719779187,9.688721875540868,0,0
1400,593852.0,30,0.0026246719160104987,-36.61356129074769,11.09724270526842,0,0
1600,678688.0,30,0.010498687664041995,-36.70497646990261,10.882753271882091,0,0
1800,763524.0,30,0.007874015748031496,-40.209441953429355,11.219344939991071,0,0
2000,848360.0,30,0.007874015748031496,-35.281371115047776,10.882753271882091,0,0
2000,848360.0,30,0.005249343832020997,-39.12327230395706,11.694031396341224,0,0
2000,848360.0,30,0.005249343832020997,-39.96517349286642,10.882753271882091,0,0
