Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-37.86844879291109,11.785964580809287,11743.6,0,0
400,-39.2001209632979,11.81658764525949,22806.4,0,0
600,-42.41461039668433,13.285964580809285,33854.4,0,0
800,-45.30713867289324,14.005309520800356,44928.3,0,0
1000,-47.7715961107209,17.12786576971862,56069.2,0,0
1200,-42.965237483983906,12.474686456350152,67096.3,0,0
1400,-42.61349729963023,13.31658764525949,85775.6,0,0
1600,-45.53710265448512,13.31658764525949,89662.0,0,0
1800,-44.067725718935314,11.81658764525949,99782.0,0,0
2000,-44.38884283883879,11.66340833189102,111829.1,0,0
200,-40.455462479656994,11.09724270526842,11948.7,0,0
400,-46.37900384339439,11.81658764525949,22845.7,0,0
600,-38.542022152207245,11.816587645259489,33635.4,0,0
800,-49.91454640556679,14.005309520800356,44864.3,0,0
1000,-45.49094105071196,13.31658764525949,55848.0,0,0
1200,-40.73074402774811,11.81658764525949,66790.3,0,0
1400,-43.99094105071197,14.005309520800356,89084.8,0,0
1600,-41.756511585593636,11.785964580809287,89359.8,0,0
1800,-47.75644759447618,12.505309520800356,102117.5,0,0
2000,-43.469702967510635,13.499999999999998,111200.9,0,0
200,-44.725824530025925,13.316587645259489,12431.4,0,0
400,-42.1694978988477,16.439143894177754,23164.1,0,0
600,-43.48608554410725,14.097242705268417,36514.4,0,0
800,-47.358155783271165,13.194031396341225,44878.8,0,0
1000,-43.654349382602895,11.587013686745868,56428.3,0,0
1200,-44.57264521665744,13.316587645259489,69247.6,0,0
1400,-45.4909410507119,12.505309520800356,94224.3,0,0
1600,-44.75651158559361,13.285964580809285,104654.7,0,0
1800,-45.41454640556679,12.505309520800356,120153.4,0,0
2000,-47.144184355197915,15.597242705268417,130394.0,0,0
200,-40.210285990702936,11.81658764525949,12014.4,0,0
400,-41.77159611072086,11.81658764525949,28778.8,0,0
600,-43.33290623073872,12.59724270526842,38696.0,0,0
800,-43.25651158559358,11.785964580809287,47250.4,0,0
1000,-40.33290623073869,12.59724270526842,63353.8,0,0
1200,-42.39900786624383,13.316587645259489,72809.8,0,0
1400,-42.41461039668433,14.097242705268417,78818.6,0,0
1600,-43.914546405566846,12.505309520800356,89261.8,0,0
1800,-43.91454640556679,11.81658764525949,100285.7,0,0
2000,-41.57270920777494,13.285964580809285,118617.5,0,0
200,-40.01139908775709,10.974686456350154,11852.4,0,0
400,-43.256511585593664,11.785964580809287,22941.8,0,0
600,-42.674807419648054,11.785964580809287,33855.9,0,0
800,-40.19520146557577,11.81658764525949,44903.9,0,0
1000,-40.991005041829446,11.785964580809287,56140.3,0,0
1200,-46.225824530025925,13.316587645259489,67473.7,0,0
1400,-42.41461039668433,12.59724270526842,87775.1,0,0
1600,-46.22582453002598,11.81658764525949,89159.7,0,0
1800,-44.20497646990264,13.194031396341224,100006.6,0,0
2000,-47.756511585593664,13.285964580809285,111788.0,0,0
