Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-118.02785173184469,14.234883479313979,1435402.6,0,0
400,-120.00292821127312,15.505309520800356,2864251.9,0,0
600,-126.37059695802802,16.31658764525949,4300769.5,0,0
800,-127.62503044599602,16.65317931336847,5835208.7,0,0
1000,-126.75257018375382,16.622556248918265,7300789.6,0,0
1200,-130.91591452452738,19.775735562286734,8630742.1,0,0
1400,-129.01885677367426,14.816587645259489,10199011.5,0,0
1600,-130.02908579219687,14.939143894177755,11510100.2,0,0
1800,-129.55439933584682,15.505309520800356,13342193.5,0,0
2000,-128.16063699928563,19.775735562286734,14640139.7,0,0
200,-125.20634458886279,15.841901188909336,1475743.3,0,0
400,-118.25826972763237,16.31658764525949,2935237.4,0,0
600,-126.49315320694626,16.31658764525949,4476656.3,0,0
800,-124.15125201803696,17.12786576971862,6240203.2,0,0
1000,-128.60463640006788,18.275735562286734,7455074.1,0,0
1200,-129.3848374458814,15.841901188909336,8591574.8,0,0
1400,-136.04332628005017,16.65317931336847,10263589.2,0,0
1600,-132.95139309558246,15.841901188909336,11683079.0,0,0
1800,-131.62056496246933,14.81658764525949,13510656.8,0,0
2000,-126.29420231288293,15.505309520800356,15076169.7,0,0
200,-143.06902984677816,16.65317931336847,1452090.1,0,0
400,-125.89545648748197,16.65317931336847,2964246.9,0,0
600,-129.33906586518648,16.65317931336847,4434960.9,0,0
800,-123.9061395202004,16.31658764525949,6167972.6,0,0
1000,-125.11577344698199,15.597242705268417,7604703.7,0,0
1200,-130.59440738154527,17.4644574378276,9052048.5,0,0
1400,-124.7933582756091,17.341901188909336,10797082.8,0,0
1600,-128.37460842735857,16.65317931336847,11844483.6,0,0
1800,-137.5433262800501,18.15317931336847,13695091.5,0,0
2000,-130.4869356577543,17.341901188909336,15055785.6,0,0
200,-129.1863405660136,16.775735562286734,1484682.2,0,0
400,-127.2729002385642,15.841901188909336,3020340.0,0,0
600,-127.35059293517865,16.439143894177754,4663980.0,0,0
800,-124.25826972763231,14.816587645259489,6020704.2,0,0
1000,-125.11486541859048,16.54616160377311,7598315.5,0,0
1200,-130.33505439585568,17.12786576971862,8733637.5,0,0
1400,-137.25244220151865,16.65317931336847,10242375.2,0,0
1600,-127.57886884222282,16.65317931336847,11525507.1,0,0
1800,-125.0237762713964,16.439143894177754,13020397.9,0,0
2000,-125.92607955193213,15.153179313368469,14587747.5,0,0
200,-119.97185113262731,14.341901188909336,1438184.5,0,0
400,-124.54954382924176,14.939143894177755,3006900.6,0,0
600,-120.37059695802802,13.316587645259489,4284857.9,0,0
800,-123.47716065342763,14.234883479313979,5871238.6,0,0
1000,-126.96783966329643,15.520848060123265,7151451.2,0,0
1200,-128.2680447319588,16.775735562286734,8833040.5,0,0
1400,-124.9923091696727,15.153179313368469,10334314.4,0,0
1600,-129.3085067918536,17.433834373377397,11566320.1,0,0
1800,-125.71165410966314,14.923605354854846,12905252.0,0,0
2000,-125.46738564910088,14.005309520800356,14374143.5,0,0
