Total reads,Time,Chain strength,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
200,89152.0,30,0.025590551181102362,-45.199276926024226,11.770426041486377,2,0
400,178304.0,30,0.027559055118110236,-49.516190603244496,6.2295739585136225,0,0
600,267456.0,30,0.03543307086614173,-42.552705184925365,10.17894687121393,0,0
800,356608.0,30,0.01968503937007874,-46.02687363596251,6.933834373377398,0,0
1000,445760.0,30,0.021653543307086614,-42.21565950262095,10.056390622295662,0,1
1200,534912.0,30,0.025590551181102362,-86.98628359383288,10.392982290404644,0,0
1400,624064.0,30,0.023622047244094488,-61.16445041889079,8.188721875540868,0,0
1600,713216.0,30,0.021653543307086614,-63.55264119380803,11.556390622295662,0,1
1800,802368.0,30,0.023622047244094488,-71.90832885637498,10.499999999999998,0,1
2000,891520.0,30,0.021653543307086614,-70.85395234058782,9.964457437827601,0,0
200,89152.0,30,0.02952755905511811,-38.251266055910854,9.245112497836532,0,0
400,178304.0,30,0.027559055118110236,-59.068115742013525,7.163408331891021,0,0
600,267456.0,30,0.025590551181102362,-41.87906783451197,9.474686456350154,0,0
800,356608.0,30,0.027559055118110236,-46.56287021233052,9.474686456350154,0,0
1000,445760.0,30,0.025590551181102362,-40.33238822542577,6.2295739585136225,0,0
1200,534912.0,30,0.021653543307086614,-39.276061594247686,7.377443751081734,0,1
1400,624064.0,30,0.025590551181102362,-66.96517349286643,10.392982290404642,0,0
1600,713216.0,30,0.01968503937007874,-51.88923286191712,10.974686456350154,0,0
1800,802368.0,30,0.023622047244094488,-74.08229223874963,13.530623064450204,0,0
2000,891520.0,30,0.023622047244094488,-66.7523721340278,10.17894687121393,0,0
200,89152.0,30,0.023622047244094488,-62.98641157606795,13.087013686745866,0,0
400,178304.0,30,0.021653543307086614,-43.40969089896233,11.939143894177755,2,0
600,267456.0,30,0.025590551181102362,-53.66451441000828,9.352130207431887,0,0
800,356608.0,30,0.015748031496062992,-67.71598553458166,12.474686456350152,0,0
1000,445760.0,30,0.031496062992125984,-57.72084104118629,9.382753271882091,0,0
1200,534912.0,30,0.025590551181102362,-57.46025399514436,10.974686456350152,0,0
1400,624064.0,30,0.027559055118110236,-54.85893582942748,9.398291811205002,0,0
1600,713216.0,30,0.021653543307086614,-46.86929283018505,9.59724270526842,0,1
1800,802368.0,30,0.017716535433070866,-59.450478990817516,10.974686456350154,0,0
2000,891520.0,30,0.021653543307086614,-53.831998202347506,10.270426041486377,0,1
