Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-124.26481650178964,77.83724656176886,3357.0
400,-121.05745641496077,78.49885063660837,5985.5
600,-122.67196440968942,80.11335863133704,8789.9
800,-131.37745360546836,81.08091950377914,11601.1
1000,-123.98653593685927,77.55896599683848,14375.5
1200,-128.07984842527136,81.65227848525056,17447.1
1400,-125.73736509058828,83.17875931223591,20265.1
1600,-127.35316845412314,80.92559851410232,23120.7
1800,-129.74808963963238,79.4515555379432,25957.9
2000,-126.32343588442858,83.7648301060762,28869.2
200,-125.73681427722308,79.30924433720227,3104.6
400,-127.87211486431366,81.44454492429286,5948.2
600,-123.60541362148619,73.30887951979699,8851.5
800,-127.70471350564327,81.27714356562247,11686.2
1000,-125.95316534204443,79.52559540202363,14544.4
1200,-125.96279279522018,83.40418701686778,17459.1
1400,-126.01809733057414,83.45949155222172,20320.3
1600,-132.04105638580245,81.74452228411322,23292.1
1800,-127.45669039132561,81.02912045130482,26125.8
2000,-132.3920287344568,85.96445879443601,29740.8
200,-123.97788544719499,85.288243830511,3182.0
400,-125.33707312046988,75.04053901878072,5934.3
600,-129.0155739350652,82.5880039950444,8966.4
800,-126.73352077201001,80.30595083198921,11762.3
1000,-125.12748275753054,82.56887697917816,14672.3
1200,-128.0855946139214,85.52698883556896,17472.1
1400,-124.34316258341208,77.91559264339128,20274.3
1600,-127.23217047620972,76.93563637452053,23081.2
1800,-126.8664189498398,80.43884900981901,26091.4
2000,-125.42950694899913,82.87090117064676,29058.6
200,-121.05552527764628,82.36588366096228,3223.2
400,-122.36997908380464,75.94240914378385,6130.8
600,-123.68435489833877,77.25678495831797,8902.1
800,-127.959018996525,85.40041321817263,20247.5
1000,-123.38903029008438,84.69938867340038,27605.9
1200,-128.02838972083356,81.60081978081276,23724.7
1400,-125.62030921689451,75.32377511520531,22889.8
1600,-126.66281496762612,80.23524502760533,24939.7
1800,-126.05950135274216,79.63193141272137,25992.2
2000,-127.00129552958519,76.704761427896,28912.5
200,-123.76798227808875,81.20937649973632,3137.1
400,-122.80421108973474,80.24560531138232,6032.6
600,-125.7825004020581,79.35493046203727,8876.5
800,-128.22226521747902,81.79469527745825,11800.2
1000,-127.07438515185652,80.64681521183569,14583.3
1200,-130.3136694263706,83.8860994863498,17466.2
1400,-128.21781330644257,81.79024336642178,20395.6
1600,-126.30176904490168,79.87419910488087,23154.6
1800,-126.85806897274736,80.43049903272656,26085.8
2000,-129.75163902177442,79.45510492008523,29507.4
