Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-131.1992458528424,77.03374758948479,692250.2
400,-133.09565751372395,78.93015925036634,1357894.0
600,-137.21305524396186,75.30962865726744,1998999.3
800,-134.8742877234435,76.83982529841751,2663375.7
1000,-137.85338169671417,79.81891927168815,3408003.5
1200,-135.29063914944223,77.25617672441622,4007003.6
1400,-135.39406205418294,77.35959962915692,4730830.6
1600,-135.48015374897906,77.44569132395304,5432271.7
1800,-139.64473038179685,77.74130379510243,6041276.7
2000,-136.40274370671074,74.49931712001633,6793114.7
200,-132.99575947508677,78.83026121172914,668062.5
400,-136.63458962928735,78.60012720426133,1331142.2
600,-132.56402455088684,78.39852628752922,2010029.1
800,-133.49360562565602,75.45914320062998,2675310.1
1000,-136.54045221499842,78.50598978997239,3534499.5
1200,-137.48200933835892,79.44754691333289,4193226.8
1400,-136.35047379961617,78.31601137459015,4680629.4
1600,-137.61322875895286,79.57876633392682,5460196.5
1800,-137.1721339592956,79.13767153426954,6036160.8
2000,-135.92899651714288,77.89453409211686,6761419.9
200,-133.4987224064865,79.33322414312889,675466.5
400,-131.90311634997894,69.99968976328452,1386693.9
600,-134.62867370296533,72.72524711627094,2077095.6
800,-137.5654713986886,75.66204481199416,2736307.3
1000,-136.98754538463166,78.95308295960564,3401619.1
1200,-137.64473038179682,75.74130379510243,4044335.2
1400,-134.209473479519,76.17501105449297,4763340.2
1600,-137.712978357605,75.80955177091062,5408497.5
1800,-138.21273181429467,80.17826938926864,6132469.8
2000,-138.4449977642185,76.54157117752406,6815951.7
200,-132.46020212616614,78.29470386280852,668581.4
400,-134.43539477331268,80.26989650995507,1343856.5
600,-137.0080340978768,78.97357167285075,2019122.2
800,-136.14479173703938,78.11032931201336,2678166.7
1000,-138.17569594023377,80.14123351520777,3455156.1
1200,-135.4052698987474,77.37080747372138,4098816.8
1400,-133.78697935464842,75.7525169296224,4766519.7
1600,-133.61034271390992,75.5758802888839,5352430.3
1800,-134.76624328576813,76.73178086074208,6008546.6
2000,-134.72097672745937,76.68651430243335,6964814.4
200,-129.14702985231452,71.11256742728851,727655.7
400,-135.60921288729787,73.70578630060345,1360170.2
600,-138.2569431762814,76.35351658958699,2060971.5
800,-134.12864302029502,83.83210891860578,2667049.6
1000,-136.48649307691352,78.45203065188748,3347426.0
1200,-134.1285190428269,76.0940566178009,4128871.9
1400,-134.06075086827616,79.89525260491851,4822032.7
1600,-137.8636675243302,75.96024093763579,5527600.7
1800,-134.64646027839603,80.4809620150384,6174991.9
2000,-137.05269584846442,75.14926926177002,6701243.6
