Total reads,Time,Chain strength,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
200,104159.56,25,0.0,-607.8031665924512,144.308902373057,0,0
400,192555.56,25,0.0013297872340425532,-650.0261798499959,159.30055820319657,1,0
600,280951.56,25,0.0026595744680851063,-589.5423955096177,159.8579103937229,3,0
800,369347.56,25,0.0013297872340425532,-601.9001022887154,149.87882272144114,0,0
1000,457743.56,25,0.003989361702127659,-609.7885438278237,160.85180638757413,2,0
1200,546139.56,25,0.0013297872340425532,-600.5045316253841,148.31435815664594,2,0
1400,634535.56,25,0.0,-601.227827219329,156.23456863325035,1,0
1600,722931.56,25,0.0,-620.459590701922,162.2756320397376,0,0
1800,811327.56,25,0.0,-597.1529150616034,142.261031526323,0,0
2000,899723.56,25,0.0,-648.3084391197683,150.13199094122345,0,0
200,104158.76,25,0.0026595744680851063,-600.0903485466109,149.31813905706613,0,0
400,192554.76,25,0.0013297872340425532,-599.8156240029359,150.10924074617313,0,0
600,280950.76,25,0.0,-633.301242637389,152.61034562162573,0,0
800,369346.76,25,0.0,-604.6637971239837,154.16833093952008,0,0
1000,457742.76,25,0.0,-628.4324962043953,156.20245883440091,2,0
1200,546138.76,25,0.0013297872340425532,-637.7849841521111,157.739713010648,0,0
1400,634534.76,25,0.003989361702127659,-610.2865401401755,139.7801451324635,1,0
1600,722930.76,25,0.0013297872340425532,-646.1365591867237,146.94125443808625,1,0
1800,811326.76,25,0.0013297872340425532,-634.9506319465202,152.57034714202263,0,1
2000,899722.76,25,0.0,-645.4408151399153,160.18509362050264,1,0
200,89496.0,25,0.0,-578.7506227962049,149.4573744680438,0,0
400,178992.0,25,0.0,-588.5366180977704,153.37140369688072,2,0
600,268488.0,25,0.0026041666666666665,-602.3477371546475,142.86169513153126,0,0
800,357984.0,25,0.0,-601.6049775137717,143.52741567377615,0,0
1000,447480.0,25,0.0013020833333333333,-605.3647461150837,144.36195979649634,2,0
1200,536976.0,25,0.0013020833333333333,-586.3908986685408,142.56759111216041,0,0
1400,626472.0,25,0.0026041666666666665,-601.8896266944803,149.00156309593564,0,0
1600,715968.0,25,0.0,-613.912794968312,153.52982019671543,4,0
1800,805464.0,25,0.0,-612.4810776574218,152.985397068376,0,0
2000,894960.0,25,0.0,-602.8375614009987,147.62690078964835,2,0
200,89496.0,25,0.0,-588.2623670167407,146.7806160689993,0,0
400,178992.0,25,0.0,-610.4989223030219,160.13628112791315,0,0
600,268488.0,25,0.0013020833333333333,-591.696306089708,147.69319001773567,0,0
800,357984.0,25,0.0026041666666666665,-605.6854397982548,142.82357693725888,0,0
1000,447480.0,25,0.0,-593.2435817916792,152.53447412935344,0,0
1200,536976.0,25,0.0013020833333333333,-635.619953196685,140.5566641583481,2,0
1400,626472.0,25,0.0013020833333333333,-594.5190664782193,152.2291601786766,6,0
1600,715968.0,25,0.0026041666666666665,-631.1383346294368,152.93681181305016,2,0
1800,805464.0,25,0.0013020833333333333,-613.4490782753763,151.57998298698422,2,0
2000,894960.0,25,0.0026041666666666665,-599.0199250134091,151.04051070946613,2,0
200,89496.0,25,0.0,-592.2384969535639,146.2001755003689,0,0
400,178992.0,25,0.0013020833333333333,-595.7205979878379,148.18751485626584,0,0
600,268488.0,25,0.0,-594.9366579440982,152.84901765480703,2,0
800,357984.0,25,0.0,-590.361579758048,153.903025515421,2,1
1000,447480.0,25,0.0013020833333333333,-591.8011566783981,142.38916156096099,0,0
1200,536976.0,25,0.0,-589.7802503487668,144.65532342866678,0,0
1400,626472.0,25,0.0013020833333333333,-595.9083701172916,151.5423259627466,2,0
1600,715968.0,25,0.0013020833333333333,-603.1403922564022,152.7171560880083,0,0
1800,805464.0,25,0.00390625,-603.2609208282638,152.45654624723332,2,0
2000,894960.0,25,0.0,-604.389700248657,153.43001766121668,2,0
