Total reads,Time,Chain strength,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
200,106419.16,25,0.00425531914893617,-677.1273626146805,166.01584867785678,0,0
400,197067.16,25,0.00851063829787234,-690.5970929558864,173.20963053659082,0,1
600,287715.16,25,0.009574468085106383,-692.6593370737137,168.45518618782123,0,2
800,378363.16,25,0.006382978723404255,-665.8861853607292,170.1541214758335,0,2
1000,469011.16,25,0.007446808510638298,-696.1999199640212,174.03587690699985,0,0
1200,559659.16,25,0.00851063829787234,-734.5667067068392,170.30680794198884,0,0
1400,650307.16,25,0.010638297872340425,-722.2704529516632,174.61590653835287,2,0
1600,740955.16,25,0.010638297872340425,-697.3084370029918,174.0930457875388,1,1
1800,831603.16,25,0.010638297872340425,-692.9865656682778,178.9144251037889,0,0
2000,922251.16,25,0.006382978723404255,-723.08673025936,167.8356559361664,0,0
