Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-645.2594499555543,183.6609727302824,61721.3,10,0
400,-672.6527575521735,176.69659224151485,117820.4,10,0
600,-653.8256876713476,155.09167170466452,178890.7,4,0
800,-659.6380679780747,171.67025198531772,241043.2,2,0
1000,-657.3141841032207,179.6779857909156,294825.7,10,0
1200,-647.4684627990372,169.07230701973256,354838.6,4,0
1400,-646.1306733284007,173.48482551933304,413463.4,10,0
1600,-666.9326966513249,166.0811393164952,470005.6,2,0
1800,-668.5879852147052,166.6083957834416,528338.7,4,0
2000,-679.8934848202933,175.5308815655552,588097.3,4,0
200,-629.27514481211,170.13241228215577,60255.1,4,0
400,-656.8325087332964,167.8840490608329,121948.9,2,0
600,-641.0648971665054,169.807055922248,182199.1,4,0
800,-648.5153633100957,165.40710090172064,235742.8,4,0
1000,-659.8850331017363,170.55230364617785,297538.1,6,0
1200,-682.2418960343705,175.4694746093329,353146.8,6,0
1400,-682.7026082798477,171.6404196848542,410712.8,0,0
1600,-659.7801985731884,173.46901567330704,470090.4,2,0
1800,-669.1115147690093,169.01381953393508,528654.5,2,0
2000,-670.5391149428525,164.22223652171124,586423.1,4,0
200,-632.72919153639,174.4609455011184,59301.3,10,0
400,-665.529590682405,166.48297811372865,119569.5,4,0
600,-636.355710227113,173.077179229767,180122.8,8,0
800,-659.9242038302034,172.74727932290196,239013.0,2,0
1000,-685.2045743493118,184.9248250057272,298715.1,6,0
1200,-667.3093783089566,169.75829344580526,357022.2,2,0
1400,-674.7829673349632,172.96930473837008,413363.2,10,0
1600,-666.0127164908101,179.31394963617564,468762.3,4,0
1800,-672.4612937377227,170.33596652027862,527750.9,6,0
2000,-723.5196857304699,169.53332457374745,588965.0,0,0
200,-663.3537239330237,164.31440015946006,62401.9,2,0
400,-630.5273120510136,163.91636411683922,120446.3,8,1
600,-663.1058012019215,166.26423602549974,175160.4,6,0
800,-676.7835224834639,170.14164368257326,233401.1,6,0
1000,-642.0307005756272,168.8105015021149,291891.8,2,0
1200,-667.8511320355301,177.62519193460375,350585.2,6,0
1400,-688.6530264304778,186.88838894823203,409517.9,12,0
1600,-648.4568951902623,178.32722378312639,463879.0,10,0
1800,-684.4908074475991,175.36608355421922,522221.7,8,0
2000,-659.3125557966387,167.3588992174247,580208.2,2,0
200,-648.3052439198024,155.54461909638601,56258.9,4,0
400,-655.6950062513018,172.6325394723459,111049.6,2,0
600,-628.9044286286623,167.41345754324811,164173.1,6,0
800,-652.1872401460513,172.74876317642725,240810.3,6,0
1000,-657.9287017554262,167.53462572655351,281900.4,4,0
1200,-655.7702368649053,171.95628738300192,345534.8,6,0
1400,-715.976088963806,179.02801123203767,392575.7,4,0
1600,-685.8299073350073,175.8123208178788,442221.5,4,0
1800,-644.0884108258517,173.04235436436164,549999.7,2,0
2000,-662.6750463747616,176.21781195459218,580087.5,4,0
