Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-823.2583462680476,174.52936637960866,1846735.0,0,0
400,-823.4006407500028,173.8147821520246,3689846.6,0,0
600,-786.2396146508804,182.68859187306853,5577145.4,0,0
800,-833.751898125598,180.8021605707745,7493788.1,0,0
1000,-797.4559408478638,183.36570810801328,9204532.4,0,0
1200,-815.0125100514986,176.3925028981164,11276801.5,0,0
1400,-815.9878307423312,168.15178264952183,13608795.4,0,0
1600,-829.8166724303718,176.1586382249774,15524937.8,0,0
1800,-824.2994990709432,183.21299086276076,17471261.5,0,0
2000,-847.3296096376293,179.46569915299486,19567773.7,0,0
200,-814.0044697942884,175.0574955972782,1985793.3,0,0
400,-803.5108822835502,166.59430471760473,3923174.8,0,0
600,-819.1289948034096,178.94516413584938,5862498.6,0,0
800,-842.2330436501387,183.2693324602421,7833051.1,2,0
1000,-815.8428210040759,171.651762610396,9789486.6,0,0
1200,-815.6861755893946,180.5183020842554,11706120.1,0,0
1400,-823.1373849844504,179.84793674755463,13691667.8,0,0
1600,-826.9804283544574,181.3706859202168,15590266.7,2,0
1800,-844.446330671378,188.43821885444268,17607905.7,2,0
2000,-858.8948163653287,185.75794032441104,19440371.1,0,0
200,-778.5105837405359,176.83954836738044,1960665.6,0,0
400,-879.1786802353676,182.06430650113072,3899150.5,0,0
600,-816.9988597058083,186.56981191059342,5881724.0,2,0
800,-806.1170044928843,180.59995824658205,7813675.4,0,0
1000,-798.9351171189254,174.92423351117495,9747389.9,0,0
1200,-812.3821160669808,174.01900544519862,11821982.5,2,0
1400,-814.835064692707,174.43929637840694,13715182.1,0,0
1600,-849.4958894956825,182.14353358260286,15609292.0,2,0
1800,-826.7238371189059,176.58177617272528,17548733.5,2,0
2000,-822.5636527757403,183.26735228833007,19480676.8,0,0
200,-792.4565765541644,181.98614841995632,1956066.0,2,0
400,-799.7125846958072,179.82846794813693,3912533.2,0,0
600,-810.7103234545025,182.00562496468183,5879138.2,0,0
800,-813.7341196031521,179.36045740647577,7560922.7,0,0
1000,-799.4958633950921,186.19240035672138,9337753.0,2,0
1200,-840.1381166290968,186.0650982003354,11125391.6,4,0
1400,-815.6378115050741,181.2164266413937,12922153.6,0,0
1600,-833.0576513952229,185.76092950750854,14761962.2,2,0
1800,-852.7837538556796,180.24771158392429,17597277.9,0,0
2000,-812.6897268196983,178.99141613340169,19254636.7,0,0
200,-832.1505132598191,189.8160247786482,1930745.0,0,0
400,-827.3057306455831,177.1001559513906,3869030.1,2,0
600,-809.1156219072936,179.8842885546269,5765910.6,0,0
800,-801.3841300198745,188.55652364745856,7696277.3,0,0
1000,-842.136261880809,191.15270809536017,9614574.3,2,0
1200,-844.0928527044566,179.4088925765998,11556445.1,0,0
1400,-856.2118367525701,180.50692330592435,13457586.9,0,1
1600,-812.0675742763067,175.39641670329922,15549230.1,0,0
1800,-816.8367871323575,170.88516881511748,18189970.0,0,0
2000,-829.0840395147148,173.93497109308834,18754651.8,0,0
