Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
500,-270.9682667293542,116.96855848041933,67270.2,0,0
1000,-273.0568352016541,115.75609746668569,110763.1,1,0
1500,-303.75776346810693,108.6137396060029,201967.8,0,0
2000,-273.4481341095994,118.96943297748929,349251.7,0,0
2500,-286.991183067749,120.08066732598346,458756.6,1,0
3000,-264.2726095137173,114.61836593437725,406726.7,1,0
3500,-276.60541528804316,127.208847456294,484544.6,3,0
500,-283.0682419370341,133.00944493582938,54158.8,3,0
1000,-268.8974434264224,106.35277569155171,114997.2,0,0
1500,-282.9492983640535,122.8941461078124,238783.6,0,0
2000,-287.9603440421495,116.33543736163995,443594.2,1,0
2500,-284.1161399175832,117.5236558519168,359271.0,0,0
3000,-272.3527594953819,111.79942115218884,449625.1,0,0
3500,-273.60337047669316,121.19263974990655,594057.8,2,0
500,-236.9175275602894,109.48616218911744,97133.0,2,0
1000,-255.76236427765696,115.4944429135447,120955.2,1,0
1500,-282.55799830861554,108.42869528569861,177810.7,0,0
2000,-302.66293588134477,114.57798770228015,329977.1,1,0
2500,-271.8681496737532,119.50032906648661,310317.6,0,0
3000,-267.6559602271907,108.65127739657649,541848.5,1,0
3500,-270.4600916180222,117.14109941512605,530463.2,2,0
500,-267.07369193379645,114.05664028696482,42140.0,0,0
1000,-271.34710729617484,121.94517045863152,88445.3,3,0
1500,-279.53169269646554,118.7347754339033,128369.2,0,0
2000,-277.3821756227983,126.61087805412996,178502.7,2,0
2500,-275.45174868778554,112.9780250735578,223374.3,1,0
3000,-285.7482579913998,116.77096775517434,261551.7,0,0
3500,-300.67018734742675,112.45307851773431,303482.5,0,0
