Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
500,-324.3822084240318,113.23388990730659,3382950.3,1,0
1000,-331.60158319287143,122.97166978494514,9505766.7,1,0
1500,-324.6161274698304,117.6597750388225,17907656.6,1,0
2000,-318.7599324085988,105.71974315773159,16824696.7,0,0
2500,-318.6970072636306,120.81025867659349,22580106.8,0,0
3000,-331.7565748101714,120.24324699865518,32419934.0,1,0
3500,-331.1566824968288,123.54363533633754,32808669.3,1,0
500,-321.6772341580594,113.95563227745518,3657688.4,0,0
1000,-336.6831934593599,122.37749323302776,8671280.6,0,0
1500,-334.56226209733376,119.21907951684769,16149991.8,0,0
2000,-331.5290271132041,122.40241170253651,17618129.9,0,0
2500,-330.0355783072673,120.48533686605884,28107450.0,1,0
3000,-342.81293792836595,127.2480875638135,27294364.4,1,0
3500,-324.20907099489983,119.3816276818027,34631934.7,0,0
500,-318.8097311123378,122.21958255638341,6416337.0,1,0
1000,-332.8199768875985,124.82399784932107,9221228.1,1,0
1500,-348.3927007494655,118.79624358713751,17194836.2,0,0
2000,-336.39060564429144,124.18838969402394,22971701.3,1,0
2500,-345.84417576893173,116.51786622460448,22269302.0,0,0
3000,-331.67728144087874,120.21268791091222,27682223.1,0,0
3500,-344.16240826578627,127.39757420784329,32401016.1,1,0
500,-327.27117104290056,122.97974156408299,2396473.1,0,0
1000,-311.55437136917885,114.02115372884005,4660962.8,1,0
1500,-325.0911487663335,122.47713187894908,7085146.3,1,0
2000,-344.5471980822479,126.5552908950332,9550121.3,1,0
2500,-338.9580787253624,121.08506933900422,11879018.1,1,0
3000,-331.9372458423031,123.53826502386728,14357318.8,0,0
3500,-332.439363717366,126.75546474311989,16805260.7,0,0
200,-313.78809859967316,116.9700783521768,1838356.0,1,0
400,-320.4186979123697,118.07374119828393,3747463.6,0,0
600,-314.293559396887,113.27686623076099,5461132.8,0,0
800,-342.4015453978919,118.84743733772355,7238048.0,1,0
1000,-334.9966250456935,120.99794291570953,9252770.2,0,0
1200,-328.5860062484341,121.26175638856267,10803545.0,0,0
1400,-336.30406810269335,117.65962316776286,12593278.0,1,0
1600,-331.70045116003865,122.26107603598626,14367159.4,0,0
1800,-321.99048723453035,118.54763113856082,18286902.6,0,0
2000,-318.0586606194941,120.96535403776079,18647056.1,0,0
200,-317.9936965208253,112.87209208528198,1945859.5,0,0
400,-335.06350495035974,118.07999336576222,3801459.0,1,0
600,-314.83975596170137,113.59356216582005,5443111.4,0,0
800,-325.1195326928371,123.73724370311699,7248045.4,0,0
1000,-321.62000354833594,114.97645443275715,9093081.0,1,0
1200,-328.1748399066262,117.19063945708236,11539309.6,1,0
1400,-327.0936569313019,122.7270468574756,13562110.2,0,0
1600,-313.99000486336763,120.69706210127657,15744740.0,0,0
1800,-343.4415506282113,123.51249062622817,17978508.2,0,0
2000,-333.5226835377847,122.48392401553137,23311414.5,0,0
