Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-151.35007492986523,18.275735562286734,2005876.1,0,0
400,-151.8399099024603,17.357439728232244,4012464.0,0,0
600,-153.76843475503736,18.857439728232244,5906151.7,0,0
800,-156.63033996679602,19.775735562286734,7847294.7,0,0
1000,-154.76312523423672,19.775735562286734,9929447.4,0,0
1200,-151.71696363046343,18.9644574378276,11713856.1,0,0
1400,-165.7990578194878,19.775735562286734,13772772.2,0,0
1600,-159.32437136313763,18.275735562286734,15599174.0,0,0
1800,-157.56417434017334,18.9644574378276,17689002.7,0,0
2000,-168.82883684666362,20.694031396341224,19502871.4,0,0
200,-147.58417836302277,18.15317931336847,1977163.1,0,0
400,-154.54818178665482,19.775735562286734,3910665.1,0,0
600,-165.3243713631374,17.4644574378276,5898349.0,0,0
800,-156.4620761283002,19.775735562286734,7792473.9,0,0
1000,-164.57355932142178,19.194031396341224,9739463.4,0,0
1200,-153.47716065342792,18.275735562286734,11843313.1,0,0
1400,-163.54818178665485,20.694031396341224,13802118.2,0,0
1600,-161.86431541771842,20.602098211873162,15678359.9,0,0
1800,-158.54378029424586,18.857439728232244,17950667.1,0,0
2000,-167.54280827473684,21.4133763363323,19716579.3,0,0
200,-158.29860380529195,20.495080502277805,1955457.4,0,0
400,-154.35007492986503,19.576784668223315,3937234.7,0,0
600,-152.71243415581972,16.775735562286734,5940755.2,0,0
800,-162.4767066392324,20.694031396341224,7832618.3,0,0
1000,-158.23729368527398,20.495080502277805,9795904.1,0,0
1200,-158.61972092519548,20.694031396341224,11759390.6,0,0
1400,-156.99671066208086,19.194031396341224,13639183.2,0,0
1600,-163.53264324733144,19.194031396341224,15737275.5,0,0
1800,-162.7524422015191,20.694031396341224,17754869.4,0,0
2000,-163.53348728460608,19.775735562286734,19675769.8,0,0
200,-153.89008297556447,17.341901188909336,1964783.5,0,0
400,-153.3399099024603,18.275735562286734,3886976.3,0,0
600,-160.02778774072684,20.694031396341224,5833035.9,0,0
800,-159.2018151142189,18.9644574378276,7826679.3,0,0
1000,-160.15027999852808,19.194031396341224,9747883.6,0,0
1200,-162.55394532165062,18.275735562286734,11667654.0,0,0
1400,-159.3546044045093,20.694031396341224,13703753.6,0,0
1600,-157.90122002247833,19.775735562286734,15721939.1,0,0
1800,-166.82430737201992,18.995080502277805,17999664.4,0,0
2000,-162.07919487418337,18.15317931336847,19494661.7,0,0
200,-150.79905781948762,18.275735562286734,1946008.8,0,0
400,-151.9624661513787,18.275735562286734,3938580.1,0,0
600,-157.57925886530077,19.775735562286734,5830005.0,0,0
800,-158.3292268697421,16.65317931336847,7908455.4,0,0
1000,-158.22227315126437,19.775735562286734,9707807.2,0,0
1200,-153.9980087135508,19.775735562286734,11807367.8,0,0
1400,-162.37053296691025,19.775735562286734,13638076.4,0,0
1600,-160.39461245020843,20.694031396341224,15738333.0,0,0
1800,-160.1192669109992,19.194031396341224,17641520.1,0,0
2000,-155.25289621571412,19.775735562286734,19618636.3,0,0
