Chain strength,Total reads,Time,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
10,500,150686.36,0.30393700787401573,335.9175735807632,5.341901188909337,2,1
11,500,150682.36,0.28346456692913385,333.7900978341227,10.65317931336847,2,3
12,500,150683.16,0.2503937007874016,285.0844053091812,6.352130207431888,2,0
13,500,150685.56,0.22992125984251968,265.0024391023925,6.841901188909337,2,0
14,500,150687.56,0.2173228346456693,235.55313018080943,15.535932585250562,8,0
15,500,150687.16,0.18425196850393702,174.26501743488376,13.087013686745866,2,2
16,500,150687.16,0.17795275590551182,138.3408240072247,10.882753271882091,0,0
17,500,150683.16,0.14488188976377953,150.3717731036355,9.964457437827603,2,2
18,500,150686.76,0.14488188976377953,114.63099203071738,10.913376336332297,0,0
19,500,150687.56,0.12440944881889764,109.47243920543127,10.087013686745868,0,1
20,500,150684.36,0.11811023622047244,109.2126961966629,10.071475147422959,0,1
21,500,150682.36,0.10708661417322834,78.99755469935516,7.760197022963826,2,0
22,500,150680.76,0.08188976377952756,45.62923388867898,13.102098211873164,2,0
23,500,150683.56,0.08188976377952756,52.10379236279418,13.775735562286735,2,1
24,500,150686.36,0.06771653543307087,-3.0307510466852214,10.775735562286735,0,2
25,500,150683.16,0.06299212598425197,36.91914594770141,14.939143894177755,4,1
26,500,150681.16,0.06141732283464567,17.08183822455389,14.020848060123265,2,0
27,500,150685.16,0.05826771653543307,41.72602257975177,12.505309520800356,0,3
28,500,150681.56,0.03622047244094488,21.55154119206435,13.31658764525949,2,3
29,500,150683.16,0.04251968503937008,-22.378415770590777,14.939143894177755,2,1
30,500,150677.16,0.03937007874015748,-5.464713402297402,11.09724270526842,0,1
31,500,150682.76,0.031496062992125984,11.204458464589608,12.275735562286735,2,1
32,500,150682.36,0.03622047244094488,12.796263666822655,14.587013686745866,2,1
33,500,150682.36,0.028346456692913385,29.250946100323333,14.847210709709694,4,1
34,500,150676.36,0.028346456692913385,6.842099238635088,11.694031396341225,2,0
35,500,150683.56,0.026771653543307086,18.13822884684967,13.928914875655204,4,0
36,500,150679.16,0.02204724409448819,48.07763478187033,11.005309520800356,2,1
37,500,150677.16,0.014173228346456693,45.430282994615595,11.57147514742296,2,2
38,500,150680.36,0.01889763779527559,38.786360680260856,14.020848060123265,4,3
39,500,150681.56,0.012598425196850394,11.234499532608966,12.59724270526842,0,4
40,500,150681.56,0.011023622047244094,68.58896987851011,12.275735562286735,6,3
41,500,150680.36,0.014173228346456693,83.22162716371608,13.31658764525949,0,8
42,500,150679.56,0.012598425196850394,83.11467344523828,13.898291811205,0,4
43,500,150685.16,0.006299212598425197,140.34594155467272,14.939143894177755,10,1
44,500,150683.56,0.011023622047244094,117.93676866102376,11.816587645259489,4,5
45,500,150681.96,0.006299212598425197,102.96790973078708,13.882753271882091,4,4
46,500,150679.16,0.009448818897637795,99.61545349139453,10.882753271882091,8,2
47,500,150677.96,0.004724409448818898,161.91282323633433,10.974686456350154,8,5
48,500,150688.76,0.007874015748031496,183.84665760971168,11.005309520800356,14,3
49,500,150684.36,0.004724409448818898,239.16493940589214,16.347210709709692,14,6
50,500,150687.56,0.004724409448818898,204.14395728716084,13.882753271882091,8,5
10,500,150686.36,0.29763779527559053,352.1118670179476,8.540852082972755,2,1
11,500,150682.36,0.27086614173228346,334.41757358076325,5.341901188909337,4,2
12,500,150683.16,0.24881889763779527,286.7375846225496,8.464457437827603,4,0
13,500,150685.56,0.2409448818897638,219.72566145310603,8.464457437827603,0,0
14,500,150687.56,0.215748031496063,213.63327425444226,8.66340833189102,2,1
15,500,150687.16,0.1984251968503937,193.50560045807617,9.382753271882091,4,1
16,500,150687.16,0.16535433070866143,153.40278619116395,10.270426041486377,2,0
17,500,150683.16,0.15905511811023623,166.6119021126326,11.617636751196072,2,1
18,500,150686.76,0.15275590551181104,149.40731566580823,9.964457437827603,2,1
19,500,150687.56,0.14015748031496064,101.06929188762135,9.964457437827603,0,1
20,500,150684.36,0.11496062992125984,104.32994292478088,13.194031396341224,2,1
21,500,150682.36,0.11496062992125984,55.654937455406866,10.102098211873164,0,0
22,500,150680.76,0.08976377952755905,35.940448022020576,14.234883479313979,0,0
23,500,150683.56,0.08661417322834646,45.56870381481734,14.801049105936581,0,4
24,500,150686.36,0.08188976377952756,24.521372141809678,14.694031396341225,2,0
25,500,150683.16,0.07401574803149606,9.26091307800269,9.841901188909336,0,1
26,500,150681.16,0.05669291338582677,13.30163717874048,14.005309520800356,2,2
27,500,150685.16,0.05196850393700787,40.088253823470865,13.974686456350152,2,0
28,500,150681.56,0.04094488188976378,-44.61893480266551,14.709569935664131,0,2
29,500,150683.16,0.04409448818897638,15.919273929936624,13.194031396341225,2,1
30,500,150677.16,0.03937007874015748,-11.801113097054003,14.127865769718621,0,1
31,500,150682.76,0.03464566929133858,-17.84688467774911,14.035932585250562,2,1
32,500,150682.36,0.029921259842519685,19.898815892891463,14.81658764525949,0,3
33,500,150682.36,0.026771653543307086,0.6889839163840499,12.382753271882091,2,0
34,500,150676.36,0.026771653543307086,35.20550055158927,17.847210709709696,2,1
