Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-143.57524739596994,20.281045083087093,33188.0,0,0
400,-146.82042388492388,17.939143894177757,63671.8,0,0
600,-136.62639248858267,17.939143894177757,95839.6,0,0
800,-150.78481733163426,16.439143894177754,125511.9,0,0
1000,-143.20803266341065,16.439143894177754,161993.5,0,0
1200,-142.473539207175,16.439143894177754,197210.9,0,0
1400,-144.96777567217922,17.15848883416883,218745.6,0,0
1600,-147.3101308752839,17.939143894177757,249897.9,0,0
1800,-145.15164204111508,16.439143894177754,279510.0,0,0
2000,-145.25904977378858,17.15848883416883,311157.1,0,0
200,-138.87597046994586,17.939143894177757,32736.4,0,0
400,-139.37991794815878,18.995080502277805,63727.3,0,0
600,-141.7373576763914,18.995080502277805,100401.0,0,0
800,-141.3559024559791,17.939143894177757,125342.1,0,0
1000,-148.79284027029576,16.65317931336847,156689.3,0,0
1200,-147.6454244919233,16.775735562286734,196972.0,0,0
1400,-137.6210189766649,16.439143894177754,218710.4,0,0
1600,-141.23380022125616,17.939143894177757,248991.4,0,0
1800,-142.74719667183558,18.275735562286734,280460.5,0,0
2000,-147.58541242337523,16.31658764525949,313214.2,0,0
200,-132.70718862613694,16.31658764525949,34019.7,0,0
400,-144.46292016557422,17.12786576971862,65631.1,0,0
600,-143.25289621571412,16.775735562286734,97658.2,0,0
800,-137.4208340222495,18.275735562286734,130281.4,0,0
1000,-141.31013087528393,17.939143894177757,160926.9,0,0
1200,-143.20809665452813,17.939143894177757,194717.7,0,0
1400,-142.76403326262823,17.939143894177757,224821.2,0,0
1600,-139.82352732586318,15.964457437827601,256170.4,0,0
1800,-140.437152607729,15.505309520800356,292295.4,0,0
2000,-144.109491906673,15.275735562286734,319755.7,0,0
200,-129.44783564044693,14.939143894177755,33574.1,0,0
400,-144.38652552042922,17.939143894177757,63735.1,0,0
600,-141.08010290257468,15.627865769718621,105160.7,0,0
800,-152.2235712027337,17.939143894177757,130676.0,0,0
1000,-150.52462030867036,17.939143894177757,160691.0,0,0
1200,-142.5340052899192,16.31658764525949,203131.0,0,0
1400,-138.26403326262846,17.12786576971862,226231.7,0,0
1600,-138.87460842735888,20.61763675119607,256893.2,0,0
1800,-157.91753860795745,17.12786576971862,293400.6,0,0
2000,-146.92737760340182,17.939143894177757,319380.5,0,0
200,-149.08547641449252,17.939143894177757,33183.0,0,0
400,-143.6059344515377,17.939143894177757,64030.7,0,0
600,-143.2995118336831,17.939143894177757,94908.2,0,0
800,-142.7320481555911,17.4644574378276,138525.5,0,0
1000,-138.08016689369214,17.939143894177757,157744.5,0,0
1200,-145.04462433151983,17.12786576971862,188063.5,0,0
1400,-141.75289621571457,18.275735562286734,228240.6,0,0
1600,-139.3661314745014,16.439143894177754,252451.6,0,0
1800,-137.7897368293563,15.627865769718621,308038.5,0,0
2000,-147.99930676502055,16.439143894177754,322782.6,0,0
